,part_number,class,descrip,descrip2,cost,onhand,onorder,master_list,custno,revision,aql,syscom,physical,oldcost,owner
173,f99c778bad3c,,WASHER TO B/P,,0.01155,133600,0,Y,17580,L,4,,N,0,A
174,2ec9544f2fe7,,"0-40 X 3/16 TORX PAN PLASTITE, STEEL W/BLACK ZINC","""NO OIL"" (353-80122-00)",0.014,15000,0,,,,0,,N,0,A
175,57467007d0dc,,"Hammer Plunger, .342 x .750, 1215 Material","Carb (.7% CP), HR15n 88-32 .008 min, B/Oxide",0.21833,17650,0,Y,14700,2,1,,N,0,A
176,572ecaa2b6c8,,1/4-28 x 1.519 Socket Oval Machine Screw,"410 SS, RC 35-40, HTS : 7318.15.4000",0.0789,0,0,Y,14700,27,1,,N,0,A
177,0a545314366f,,DOWEL PIN TO PRINT (2/M /BAG),,0.13,4378,0,Y,142300,C,1,,N,0,A
178,d0c3aeb8eea5,,QOSINA P/N 81480 (BLUE Y TUBE),PREVIOUS P/N S11744,0,1628,0,,,,0,,N,0,A
179,cdc8b4a07ba3,,"2 x 3/4 TORX PAN PLASTITE, Stainless",Self Tapping ; HTS : 7318.14.1030,0.0135,15250,0,,,,0,,N,0,A
180,d09de6f0a0a2,,"Key, Ball Point Hex, L-Shaped","6150 Steel, Black Oxide HTS : 8301.70.0000",0.168,3300,0,Y,14700,0,1,,N,0,A
181,3953aadfe338,,MULTI CONTACT P/N 04.0057,,0.555,669,0,,,,0,,N,0,A
182,3489aedf805b,,Sintered Metal Filter Stainless Steel Porous Disc,HTS: 8421.99.00.40,9.7,905,0,Y,13702,C,4,,N,0,A
183,8f82ce2df634,,CENTURY SPRING P/N V-18,,0.073,24025,0,,,,0,,N,0,A
184,951a175ba49f,,"Extractor Rivet Magnum, .138 Length","4140, (27340 Drawing) : 7318.23.0000",0.085,15000,0,Y,14700,64,1,,N,0,A
185,81c3ddb91190,,"4"" NPT-8 x 3 7/16 X 4 15/16 OD  Coupling","Aluminum 6061-T6, HTS:7609.00.0000",10,73,0,,,,0,,N,0,A
186,9e3fe482a168,,"Crush Washer, Muzzle Brake, .140 Dia","304SS, HTS : 7318.22.0000",0.55,4018,0,,,,0,,N,0,A
187,f10f21158255,,316 STAINLESS STEEL HINGE FOR RECESSED PADLOCK,CLIP COVERS TO PRINT,3.03564,1500,0,,,,0,,N,0,A
188,f6d2b2b03f0d,,QUAD RING TO PRINT,,0.14,6500,0,,,,0,,N,0,A
