part_number,cost,qty_sold,Label
73214ae016bc,0.05,23,Overseas
1dadd46da81b,0.025,25,Overseas
652a30d0848d,0.00621,28,Overseas
6810e3114882,0.027,99,Overseas
6b858e5c8ec4,0,24,Overseas
ef3a4efcbf4b,0.235,73,Standard
75d35ef6c9de,0.465,15,Standard
aa518f6a85ed,0.34,18,Standard
40aabb814ff6,0.00754,33,Overseas
965a62f195bb,0.01158,4,Overseas
92b75a5004dd,0.8074,96,Custom
f44e942f952d,1.45,73,Custom
d05d2808158a,1.45,35,Custom
66eccd57e328,0.0021,16,Overseas
0dbbeeb1563d,0.175,35,Standard
adf923c7b433,0.285,82,Standard
20c3c0bab504,0.095,75,Overseas
bb346fea7676,0.04,87,Overseas
56c4bb07796d,0.85,50,Custom
ba1bea2b03f1,0.184,30,Standard
e686eb688a58,0.031,100,Overseas
7a5e86cb397a,0.01433,24,Overseas
7e7f0d308612,0.22,95,Standard
32f0b897b669,0.04665,17,Overseas
23463ad60ac9,0.00998,49,Overseas
54b20834465c,0.00225,98,Overseas
8c618b626f25,0.031,8,Overseas
f1a56e9fcd9e,0.02,56,Overseas
c7b8b84e4c6c,0.0223,12,Overseas
0b148374372c,0.00425,15,Overseas
be6fa1716b28,0.4326,16,Standard
5449d22bc0ee,0.065,24,Overseas
f82895d578b9,0.71505,54,Custom
16d7d50eac29,0.2,42,Standard
eed8baae2bde,0.02065,10,Overseas
bfe073594143,1.3,35,Custom
cfdd11be555f,0.04034,27,Overseas
1426b0e47b33,0.02346,34,Overseas
93f9588ea369,0.75,6,Custom
efca8324be73,1.48333,86,Custom
700adc6f58ff,0.29572,29,Standard
c1e9c3a8827f,0.01744,20,Overseas
9be30404d0b1,0.02099,39,Overseas
09999290430d,0.025,24,Overseas
7affeca5e20d,0.0065,76,Overseas
bfd413187aab,0,5,Overseas
a8262a5f2bbd,0.01345,55,Overseas
9fc24882d106,0.48,43,Standard
e8d4c0270e7e,0.21629,89,Standard
b16e4e485281,0.02452,13,Overseas
d6f5178f40f3,0.235,63,Standard
d32796a33bd9,0.009,86,Overseas
ee3eff56f403,0.0174,29,Overseas
c48a62a91aed,0.01697,77,Overseas
f265fef8e3ae,0.05826,71,Overseas
2b9e4e67d52e,0.28142,10,Standard
7b947a117436,3.65,18,Custom
455c945dab07,0.01576,19,Overseas
c96adfb358f7,0.125,89,Overseas
6bba69408128,0.00898,25,Overseas
bc4c1c4f80ee,6.5,26,Custom
